Trial Number,Target Size (pixels),Distance to Target (pixels),Time to Click (ms)
1, 112.4, 0.0, 973
3, 100.7, 397.9, 978
4, 88.0, 475.2, 895
5, 87.9, 222.9, 820
6, 136.3, 274.5, 692
7, 124.0, 445.2, 791
8, 135.7, 477.8, 715
9, 103.8, 383.5, 815
10, 54.6, 381.5, 904
11, 153.2, 346.8, 644
12, 51.1, 192.9, 888
13, 76.9, 379.1, 743
14, 76.4, 354.3, 891
15, 58.7, 378.4, 947
16, 125.7, 388.9, 778
17, 150.3, 164.2, 558
18, 89.2, 229.3, 1239
19, 131.1, 171.0, 757
20, 110.2, 321.6, 731
21, 158.1, 316.3, 736
22, 78.3, 140.1, 712
23, 159.9, 159.1, 652
24, 153.7, 123.9, 508
25, 104.3, 171.6, 719
26, 151.7, 45.4, 580
27, 32.6, 322.6, 1132
28, 55.3, 342.2, 1262
29, 82.0, 150.7, 680
30, 116.3, 102.7, 587
31, 95.2, 585.8, 1054
32, 108.8, 398.6, 767
33, 81.2, 252.6, 838
34, 112.7, 97.0, 610
35, 103.9, 337.4, 834
36, 148.9, 81.8, 638
37, 81.1, 154.1, 803
38, 111.9, 172.5, 823
39, 82.2, 191.3, 773
40, 86.1, 519.8, 884
41, 91.1, 347.1, 816
42, 137.7, 238.7, 734
43, 153.4, 110.5, 578
44, 36.3, 243.8, 875
45, 51.4, 229.0, 729
46, 102.2, 418.5, 862
47, 95.4, 585.0, 881
48, 128.1, 454.7, 753
49, 34.9, 52.1, 975
50, 151.9, 98.7, 709
