Trial Number,Target Size (pixels),Distance to Target (pixels),Time to Click (ms)
2, 164.3, 698.6, 762
3, 138.2, 148.5, 594
4, 124.4, 480.2, 757
5, 93.3, 303.8, 797
6, 176.1, 257.4, 674
7, 171.7, 164.3, 668
8, 87.3, 547.2, 940
9, 86.7, 480.5, 912
10, 169.4, 301.9, 775
11, 172.1, 48.9, 617
12, 81.6, 226.0, 753
13, 90.3, 249.0, 798
14, 145.2, 21.3, 649
15, 74.2, 155.0, 678
16, 102.6, 395.5, 863
17, 132.8, 436.7, 892
18, 103.9, 287.5, 901
19, 133.6, 93.2, 513
20, 134.7, 312.3, 824
21, 178.0, 186.9, 711
22, 88.1, 299.6, 906
23, 101.5, 492.0, 917
24, 122.6, 285.6, 644
25, 148.5, 271.3, 615
26, 84.6, 235.2, 844
27, 170.3, 363.6, 701
28, 74.9, 376.8, 924
29, 152.3, 127.2, 615
30, 126.0, 193.2, 751
31, 114.4, 413.4, 868
32, 68.0, 293.7, 828
33, 163.5, 210.5, 560
34, 116.0, 178.0, 753
35, 90.1, 612.9, 949
36, 84.2, 583.9, 880
37, 62.0, 193.8, 752
38, 98.4, 460.1, 862
39, 118.5, 335.6, 764
40, 95.5, 286.1, 857
41, 60.0, 318.0, 882
42, 143.6, 183.0, 569
43, 80.9, 189.0, 803
44, 125.0, 375.5, 965
45, 107.6, 430.1, 1007
46, 86.3, 96.5, 558
47, 127.7, 221.4, 581
48, 161.4, 188.1, 608
49, 93.7, 406.4, 1014
50, 96.9, 60.1, 725
