Trial Number,Target Size (pixels),Distance to Target (pixels),Time to Click (ms)
1, 139.4, 0.0, 663
3, 38.1, 237.8, 1317
4, 112.2, 64.1, 588
5, 30.3, 186.8, 982
6, 139.9, 178.3, 632
7, 66.5, 44.1, 679
8, 128.0, 226.1, 677
9, 42.7, 323.4, 913
10, 65.6, 229.6, 822
11, 114.6, 150.3, 770
12, 89.2, 382.7, 785
13, 69.0, 69.1, 1050
14, 143.3, 111.1, 653
15, 97.5, 188.0, 641
16, 52.5, 38.9, 713
17, 146.3, 346.8, 784
18, 123.0, 156.3, 752
19, 93.4, 188.0, 916
20, 137.1, 172.1, 678
21, 137.2, 206.9, 664
22, 136.0, 59.2, 702
23, 110.1, 156.4, 589
24, 96.8, 162.6, 947
25, 97.5, 181.9, 836
26, 86.9, 129.0, 629
27, 56.1, 230.6, 645
28, 134.4, 333.1, 685
29, 152.8, 266.2, 850
30, 64.8, 94.0, 722
31, 120.0, 207.1, 657
32, 114.2, 23.7, 725
33, 51.7, 163.2, 697
34, 54.7, 87.0, 654
35, 76.3, 168.6, 705
36, 154.9, 304.4, 720
37, 98.2, 218.7, 697
38, 151.3, 131.8, 585
39, 144.3, 127.9, 605
40, 95.7, 396.5, 793
41, 67.2, 348.2, 724
42, 159.1, 127.6, 651
43, 126.4, 110.9, 685
44, 99.6, 59.9, 610
45, 83.6, 327.6, 771
46, 36.4, 32.4, 808
47, 101.5, 46.3, 630
48, 100.3, 245.7, 676
49, 121.2, 204.7, 659
50, 131.8, 296.8, 658
